key,groupName,memberCount,groupType,colorGapSeverity,missingColors,note
black-eyed-susan-vine,Black-Eyed Susan Vine,6,color-variants,minor,white,"Thunbergia alata color forms of one vine. Orange/yellow/red/pink are well covered, but the very common white 'Alba' (dark-eyed) form sold in the Susie/other series is absent."
clematis,Clematis,16,mixed,minor,yellow,"Spans very distinct groups (large-flowered jackmanii-type hybrids, viticella, montana, evergreen armandii). Purple/blue/pink/red/white covers the showy hybrids well, but the yellow species clematis (tangutica/orientalis, e.g. 'Golden Tiara') is a real category that is absent - a minor gap since most shoppers picture the cool-toned hybrids."
climbing-roses,Climbing Roses,10,color-variants,minor,white,"A habit group (climbing roses) varied by color. Strong warm/pink/red/yellow spread, but no true white despite white climbers being iconic (Iceberg, New Dawn, Sombreuil); pale pink is the nearest. Lavender/mauve also absent but that is niche. Minor, not notable, since pale pink partly covers and shoppers still have range."
dianthus,Dianthus,13,color-variants,minor,purple/lavender,"Pinks/carnations. Core pink, red, white (plus a coral-orange) are present, but lilac/mauve/purple dianthus are common in garden centers and absent here. Minor, not notable, since the core three colors and picotee bicolors are the main draw."
geraniums,Geraniums,11,color-variants,minor,salmon/coral,"Zonal Pelargonium. Core colors present (red, pink, white, magenta, purple), but salmon/coral, one of the most popular geranium shades, is missing. Minor since it reads as a pink/red tone."
hollyhock,Hollyhock,7,color-variants,minor,apricot/peach,"Alcea rosea color variants. Pink/purple/red/white/yellow already spans the spectrum; the only common garden color absent is apricot/peach (and the classic near-black, which purple/red approximates). Minor refinement, not a shopper blocker."
lilies,Lilies,5,mixed,minor,yellow,"Members span lily forms (asiatic/oriental/trumpet/tiger) and cover orange, pink, red, white, a solid warm-plus-white spread. The one clear omission is yellow/gold, a staple asiatic and trumpet lily color; noticeable but a single-color gap, so minor rather than notable."
lobelia,Lobelia,6,mixed,minor,red,"The members read as bedding Lobelia erinus color variants (blue/white/pink/purple), which genuinely has no red. But a card simply labeled 'Lobelia' also implies the iconic scarlet cardinal flower (L. cardinalis), a distinct perennial form. Red is the honest absence, kept minor because it belongs to a different species than the bedding types shown."
rhododendrons,Rhododendrons,13,mixed,minor,orange,"A mix of evergreen rhododendrons AND azaleas (the presence of yellow signals deciduous azaleas are included), plus color variants. Eight colors give excellent coverage, but deciduous azaleas are famous for flame/coral-orange ('Gibraltar', Exbury hybrids) and no member provides orange, so a shopper hunting that classic azalea color comes up empty."
snapdragons,Snapdragons,11,color-variants,minor,purple,"Antirrhinum cultivars across a broad palette. Red, pink, orange, yellow, and white are covered, but snapdragons also come in deep purple/violet-burgundy ('Black Prince', 'Night and Day') that always appear in rainbow mixes and no member provides. Modest gap, main range well covered."
star-of-bethlehem,Star of Bethlehem,5,species-or-form-types,minor,yellow,"Different Ornithogalum species: the common white spring bulb (O. umbellatum, thyrsoides, arabicum) plus the orange pot species O. dubium. O. dubium also comes in a bright yellow that isn't represented; a minor gap since white and orange already cover the two main forms."
windflower,Windflower,6,mixed,minor,red; purple,"Anemone genus spans spring Grecian (blanda), fall Japanese, and poppy/De Caen anemones; the set has blue, pink, magenta and white but misses the vivid RED and true purple the iconic poppy anemone is known for."
agapanthus,Agapanthus,7,color-variants,none,,"Lily of the Nile realistically comes only in blue/violet and white; blue covers the violet shades, so blue+white fully spans the shopper-expected range."
ageratum,Ageratum,5,color-variants,none,,"Floss flower is dominantly blue/lavender with pink and white cultivars; blue, pink, white is the complete practical range."
amaryllis,Amaryllis,8,color-variants,none,,"Hippeastrum in red, white, pink, orange covers the core range; bicolor/striped forms are stylistic rather than a missing base color."
anemone,Anemone,12,species-or-form-types,none,,"Very different forms grouped (spring wood/blanda, poppy anemone coronaria, tall fall-blooming Japanese anemone). Color coverage is broad (blue, pink, purple, red, white, magenta) so no color gap despite the form spread."
angelonia,Angelonia,7,color-variants,none,,"Summer snapdragon in purple, blue, pink, white spans its full realistic palette."
annual-phlox,Annual Phlox,6,color-variants,none,,"Phlox drummondii in orange, pink, purple, red, white covers the range; lavender/blue tones fall under purple, so no meaningful gap."
arborvitae,Arborvitae,10,species-or-form-types,none,,"Thuja is a foliage conifer with no ornamental flowers; members differ by form/size (columnar, globe, golden). No flower-color range is expected, so the empty color set is correct."
aster,Aster,12,mixed,none,,"Spans different aster species/forms (New England, alpine, etc.) but a shopper reads them as one daisy. Blue, purple, pink, red, white, magenta cover the range; asters have no true yellow so none is missing."
astilbe,Astilbe,12,color-variants,none,,"Similar feathery plumes across chinensis/japonica/Arendsii hybrids; pink, red, white, purple, salmon (orange) span the full false-spirea palette."
azaleas,Azaleas,15,mixed,none,,"Spans evergreen Japanese azaleas and deciduous types (a real form split) plus colors. Coverage is excellent (magenta, orange, pink, purple, red, white, yellow), effectively the full azalea spectrum."
bacopa,Bacopa,4,color-variants,none,,"Trailing Sutera in white (classic), blue/lavender, pink, purple spans its realistic range."
bald-cypress,Bald Cypress,4,species-or-form-types,none,,Taxodium is a deciduous conifer tree with no ornamental flowers; members are size/form cultivars. Empty color set is correct; no flower color is expected.
balloon-flower,Balloon Flower,6,color-variants,none,,"Platycodon in blue/purple (classic), pink, and white is the complete realistic range for the species."
baptisia,False Indigo,8,mixed,none,,"False indigo. Built on distinct species (B. australis blue, B. alba white, B. sphaerocarpa yellow) plus modern Decadence hybrids, so it is part species-mix, part color range. Blue, purple, yellow, white, pink, red covers the full modern Baptisia palette."
beautyberry,Beautyberry,6,species-or-form-types,none,,"Ornamental feature is berries, not flowers; members are different Callicarpa species. Berry color range (vivid purple/magenta plus the white-berried form) is fully covered."
bee-balm,Bee Balm,12,color-variants,none,,"Monarda hybrids in red (classic), pink, purple, magenta, white; lavender falls under purple, so the range is well covered."
begonia,Begonia,13,mixed,none,,"Spans very different forms (wax, tuberous, dragon-wing, and foliage rex) plus colors. Orange, pink, red, white, yellow cover the flowering range well; apricot/salmon read as orange."
bidens,Bidens,5,color-variants,none,,"Historically golden-yellow; modern breeding adds orange, red, pink, white and bicolors, all present here, so the range is fully covered."
black-eyed-susan,Black-Eyed Susan,10,mixed,none,,"Rudbeckia group spans species (annual hirta cultivars like Cherry Brandy/Cherokee Sunset plus perennial fulgida/Goldsturm) but reads as one gold, dark-centered daisy. Yellow/orange/red covers the full warm range; no pink or blue exists for this plant."
bleeding-heart,Bleeding Heart,6,mixed,none,,Combines old-fashioned Lamprocapnos spectabilis with the finer fringed Dicentra eximia/formosa (distinct forms). Pink/white/deep-red is the entire realistic color range for the type.
blue-fescue,Blue Fescue,3,color-variants,none,,"Foliage grass: Festuca glauca cultivars differing in blue intensity and size. Grown for blue foliage, not bloom; the stored 'yellow' is only the incidental seed head, so flower-color coverage is not a shopper factor here."
boston-ivy,Boston Ivy,3,color-variants,none,,"Parthenocissus tricuspidata cultivars grown for fall foliage color, not flowers (blooms are insignificant green). No bloom-color range applies to this vine."
boxwood,Boxwood,8,species-or-form-types,none,,"Buxus species and forms (sempervirens, microphylla/koreana, dwarf vs columnar hedging shapes). An evergreen structure shrub with no ornamental flower color; color coverage is irrelevant."
browallia,Browallia,3,color-variants,none,,"Amethyst-flower color forms of one plant. Blue, violet-purple and white is the complete range Browallia offers."
butterfly-bush,Butterfly Bush,12,mixed,none,,Mostly Buddleja davidii color forms plus the yellow weyeriana type and dwarf hybrids. Purple/pink/magenta/white/blue/yellow spans the genus comprehensively.
caladium,Caladium,5,color-variants,none,,"Foliage plant; members are leaf-color forms (white, pink, red patterning). Stored flower colors are empty because caladium is grown for its leaves, so the shopper decision is leaf color and n=5 spans the white/pink/red palette."
calendula,Calendula,5,color-variants,none,,"Pot-marigold color forms. Orange/yellow/cream (pale yellow) is the classic range; the rare pinkish novelties aside, coverage is complete."
calibrachoa,Calibrachoa,12,color-variants,none,,"Million Bells span nearly the entire spectrum across 8 colors including blue, orange, and yellow. Excellent coverage."
california-poppy,California Poppy,6,color-variants,none,,Eschscholzia cultivars of one species. Classic orange plus yellow/cream/pink/purple/red covers the full realistic garden range.
calla-lily,Calla Lily,8,mixed,none,,White Zantedeschia aethiopica plus the colored elliottiana/rehmannii hybrids (distinct forms). Eight colors including a near-black ('grey') span the full available range.
camellia,Camellia,11,mixed,none,,"Spans japonica vs sasanqua (different species and bloom seasons). White/pink/red is the complete garden range; camellia has no blue or orange, and yellow (C. nitidissima) is a rare collector species only."
canna,Canna Lily,12,color-variants,none,,"Canna x generalis hybrids (with varied bronze/variegated foliage). Red/orange/yellow/pink is the core range; near-white 'Ermine' types exist but are a minor omission, not a shopper frustration."
canterbury-bells,Canterbury Bells,5,color-variants,none,,Campanula medium color forms. Blue/pink/purple/white is the complete range for this biennial.
catmint,Catmint,11,color-variants,none,,"Nepeta is fundamentally a blue/lavender mounding perennial. Blue dominates, with the minor pink ('Pink Cat') and white forms also present; no other flower colors exist for the plant."
celosia,Celosia,12,mixed,none,,"Spans distinct forms (plumose feather, cristata cockscomb, spicata wheat). Warm red/orange/yellow/pink/magenta is celosia's iconic range and is well covered; magenta stands in for the purple 'Intenz' novelties."
chrysanthemums,Chrysanthemums,15,color-variants,none,,Hardy garden-mum cultivars. Yellow/orange/red/pink/purple/white spans the full mum range; there is no true blue mum.
cleome,Cleome,5,color-variants,none,,Spider-flower color forms of one plant. Pink/purple/rose(red)/white is the complete ornamental range; garden cleome has no yellow or blue.
colchicum,Autumn Crocus,6,color-variants,none,,"Autumn crocus realistically comes in pink/mauve, purple, and white; the trio fully covers the garden range (yellow Colchicum is a rare oddity, not shopper-expected)."
coleus,Coleus,13,color-variants,none,,"Foliage plant (Coleus/Plectranthus scutellarioides), grown for leaf color, not flowers; its flower spikes are insignificant. Empty flower-color set is correct and expected. The real 'color range' here is foliage (burgundy, lime, red, chartreuse), which this framework does not track. No flower-color gap."
columbine,Columbine,7,color-variants,none,,"Aquilegia hybrids/species. Blue, purple, red, pink, white, yellow spans essentially the full columbine range including the classic bicolor territory. Well covered."
coneflowers,Coneflowers,16,color-variants,none,,"Echinacea color selections. magenta/pink stands in for the classic purple coneflower, plus orange, red, yellow, white, and the modern greens. Full modern range covered, as expected for this well-bred group."
coral-bells,Coral Bells,15,color-variants,none,,"Foliage plant (Heuchera), bought for leaf color (caramel, purple, lime, silver); flowers are minor. Empty flower-color set is correct and expected. No flower-color gap."
coreopsis,Coreopsis,12,color-variants,none,,Warm yellow-gold-orange-red range plus newer pinks. That is effectively the whole Coreopsis palette (the genus does not offer blue/purple/true white). Complete for the plant.
cornflower,Bachelor's Button,6,color-variants,none,,"Bachelor's button centered on classic blue, plus pink, purple, red, white (and near-black maroon under red/purple); the range is well covered."
cosmos,Cosmos,12,mixed,none,,"Spans two species: C. bipinnatus (pink/white/magenta) and C. sulphureus (orange/yellow/red), which differ in foliage and height, so it is mildly a species mix rather than pure color variants. Color coverage itself is complete for a shopper (chocolate cosmos maroon is the only niche absence)."
crabapple,Crabapple,11,color-variants,none,,"Flowering crabapple (Malus) cultivars. White, pink, and red/rose is the entire crabapple bloom range; there is no yellow/blue/purple crabapple flower. Complete."
crape-myrtle,Crape Myrtle,14,color-variants,none,,"Lagerstroemia color selections. White, pink, red, purple/lavender, magenta is the full crape myrtle range; the genus has no yellow/orange/blue. Complete."
creeping-phlox,Creeping Phlox,11,color-variants,none,,"Phlox subulata/stolonifera mat phlox. Pink, purple, blue/lilac, white, red, magenta covers the entire creeping-phlox palette. Complete."
crocosmia,Crocosmia,6,color-variants,none,,"Crocosmia is a warm-only genus: red (Lucifer), orange, and yellow (George Davison) is its entire realistic range. Nothing missing."
crocus,Crocus,12,color-variants,none,,"Multiple crocus species presented as a color set. Purple, white, yellow, and blue/lilac is the full crocus range (plus striped bicolors). Crocus offer no orange/pink/red. Complete."
cuphea,Cuphea,6,species-or-form-types,none,,"This group bundles genuinely distinct plants, not one plant's colors: cigar plant (C. ignea, orange/red), bat-faced cuphea (C. llavea, red/purple), and Mexican heather (C. hyssopifolia, purple/pink/white) are different-looking species. The groupType is the notable thing here; color spread itself is fine."
daffodils,Daffodils,16,color-variants,none,,"Narcissus. Yellow, white, orange, cream (pale yellow), and pink-cupped (pale red) covers the whole daffodil range; there is no blue/purple/true red daffodil. Complete."
dahlias,Dahlias,16,color-variants,none,,"Large well-bred group. Red, orange, yellow, white, pink, and magenta/pink (covering the purple/lavender end) span the dahlia palette; true blue does not exist in dahlias. Covers color well, as expected."
daylilies,Daylilies,16,color-variants,none,,"Hemerocallis. Yellow, orange, red, purple, magenta/pink, and cream/near-white (pale yellow) span the daylily range; true blue/pure white do not exist in the genus. Well covered."
delphinium,Delphinium,12,color-variants,none,,"Blue, purple, white, pink, and lavender (magenta/pink) is the classic delphinium palette and its full common range. Yellow/red delphiniums exist only in rare niche species. Complete for a shopper."
dogwood,Dogwood,12,species-or-form-types,none,,"Bundles distinct Cornus species: flowering/kousa dogwood (white/pink/red bracts), cornelian cherry (C. mas, the yellow), and likely redtwig types (grown for stems). The species mix is the notable feature; the white/pink/red flowering-dogwood color range a shopper expects is fully covered."
elephant-ear,Elephant Ear,7,color-variants,none,,"Foliage plant grown for large leaves (Colocasia/Alocasia; the group likely spans those genera, so it is mildly a form mix). No meaningful flowers, so the empty flower-color set is correct. No flower-color gap; the real range is leaf color (green, near-black, variegated)."
english-rose,English (David Austin) Roses,32,color-variants,none,,"David Austin roses, 32 members. Red, pink, white, yellow, apricot/orange, and the pale/blush tones span the full English-rose palette; there is no blue/purple rose. Excellent coverage."
feather-reed-grass,Feather Reed Grass,3,species-or-form-types,none,,"Calamagrostis cultivars (e.g. Karl Foerster/Overdam) differ by habit and variegation, not flower color. The single 'yellow' is the golden plume/seedhead. Flower-color range is not a shopper concern for grasses."
flowering-cherry,Flowering Cherry,10,species-or-form-types,none,,"Distinct Prunus species/forms (Yoshino, Kwanzan, weeping, Okame). Flowering cherries only bloom in white and pink shades, so pale-pink/pink/white is the complete natural range."
forsythia,Forsythia,7,species-or-form-types,none,,"Cultivars/size-forms (Lynwood Gold, dwarf types) differ by habit, not color. Forsythia is only yellow, so the single color is the complete range."
fountain-grass,Fountain Grass,4,species-or-form-types,none,,"Pennisetum types: purple-leaved 'Rubrum', pink-plumed 'Fireworks'/orientale, etc. The colors are foliage/plume tones across distinct cultivars, not a flower-color range a shopper picks by."
four-oclock,Four O'Clock,6,color-variants,none,,Mirabilis jalapa color forms. Magenta/orange/pink/red/white/yellow plus the implied bicolors is essentially the full four-o'clock palette.
foxglove,Foxglove,11,mixed,none,,"Digitalis purpurea color forms plus distinct species (yellow D. grandiflora/lutea, rusty-orange D. ferruginea, apricot 'Sutton's'). Purple/pink/white/yellow/orange covers the range well."
freesia,Freesia,7,color-variants,none,,"Full rainbow (blue, orange, pink, purple, red, white, yellow). Freesia's entire garden color range is represented."
fritillaria,Fritillaria,6,species-or-form-types,none,,"Very distinct plants grouped by genus: Crown Imperial (F. imperialis, tall orange/yellow), snake's-head (F. meleagris, small checkered purple/white), F. persica (deep purple). Different forms rather than colors of one plant; color range is adequately covered."
gaillardia,Blanket Flower,7,color-variants,none,,"Blanket-flower cultivars (pulchella/aristata/grandiflora) differ mainly by color and look near-identical. Red/orange/yellow plus their bicolors is the complete warm range; gaillardia has no cool colors, and peach/burgundy fall inside the orange-red gradient."
gardenia,Gardenia,7,species-or-form-types,none,,"Cultivars (August Beauty, Frostproof, Radicans, Kleim's Hardy) differ by size/hardiness/form. Gardenias are only white/cream, so the single color is the complete range."
gazania,Gazania,7,color-variants,none,,"Orange, yellow, red, pink, white covers the core gazania palette; only niche bronze/mahogany tones are absent, which is negligible."
gerbera,Gerbera Daisy,7,color-variants,none,,"Orange, yellow, red, pink, white covers the primary gerbera range; only cream/bicolor niceties are absent."
gladiolus,Gladiolus,12,color-variants,none,,Nine colors including green and pale pink. Full gladiolus spectrum represented.
glory-of-the-snow,Glory of the Snow,5,color-variants,none,,"Chionodoxa comes in blue (dominant), pink ('Pink Giant'), and white ('Alba') only, all present. Complete range."
gomphrena,Globe Amaranth,6,color-variants,none,,"Globe amaranth in magenta, purple, white, pink, red, orange ('Strawberry Fields'). Complete garden range."
grape-hyacinth,Grape Hyacinth,6,color-variants,none,,"Muscari, mostly M. armeniacum forms (blue, white 'Album', pink) plus the yellow oddball species. Blue-dominant range is well covered; near-black/purple types read as blue."
hardy-geranium,Hardy Geranium,11,color-variants,none,,"True cranesbill (perennial Geranium), correctly kept separate from Pelargonium. Blue, purple, pink, magenta, white is the complete hardy-geranium range; they do not come in red/orange/yellow, so nothing is missing."
hardy-hibiscus,Hardy Hibiscus,12,color-variants,none,,"Rose mallow (Hibiscus moscheutos) cultivars. White/pink/red/magenta is the full hardy-hibiscus range; there is no true yellow, orange, or blue in this species (those are tropical hibiscus). Coverage is complete."
hellebore,Hellebore,11,color-variants,none,,"Eight distinct colors (green, white, pink, purple, red, yellow, pale orange/apricot) spans the hellebore palette very well; the dark 'slate/near-black' end is effectively covered by purple. Mostly Helleborus x hybridus with a green species tone, so treated as color variants."
hemlock,Hemlock,4,species-or-form-types,none,,"Tsuga conifers (species/weeping/dwarf forms). Grown for evergreen foliage and habit, not flowers, so flower-color range does not apply; empty color set is expected."
honeysuckle,Honeysuckle,5,species-or-form-types,none,,"Lonicera group spans genuinely different climbing species (trumpet, Japanese, woodbine, coral). Orange/yellow/pink/red/pale-yellow covers the honeysuckle palette well (cream/white via japonica). Distinct forms, but color coverage is fine."
hostas,Hostas,16,species-or-form-types,none,,"16 distinct Hosta cultivars (blue, gold, green, variegated, giant, mini). A foliage plant; its lavender/white flowers are incidental, so an empty flower-color set is correct and no color gap applies. Real variety here is foliage, not bloom."
hyacinth,Hyacinth,12,color-variants,none,,"Hyacinthus color variants across blue, purple, pink, magenta, white, yellow, red, and salmon/apricot. This is the full hyacinth range; excellent coverage."
impatiens,Impatiens,12,color-variants,none,,"Impatiens color variants (walleriana plus New Guinea forms): magenta/pink, orange, pink, purple, red, white with salmon/coral implied. Impatiens have no true blue or yellow, so this spans the realistic range."
italian-cypress,Italian Cypress,4,species-or-form-types,none,,"Cupressus sempervirens columnar-conifer forms/cultivars. Grown for evergreen form; no flower color applies, so the empty set is expected."
japanese-forest-grass,Japanese Forest Grass,4,species-or-form-types,none,,"Hakonechloa macra foliage forms (green, gold 'Aureola', variegated). An ornamental grass grown for foliage; flower color is not the shopping axis, so the empty color set is correct."
japanese-maple,Japanese Maple,12,species-or-form-types,none,,"12 distinct Acer palmatum cultivars/forms (upright vs laceleaf, green vs red/purple vs variegated). A foliage tree; its tiny red flowers are not the shopping axis. Real variety is leaf color/form, so an empty flower-color set is expected, no gap."
jasmine,Jasmine,4,species-or-form-types,none,,"Distinct Jasminum species (white common/star jasmine, yellow winter jasmine, pink-budded J. polyanthum). White/yellow/pink is the realistic jasmine range; coverage is complete for genuinely different species."
juniper,Juniper,10,species-or-form-types,none,,"Juniperus conifers spanning groundcover to upright forms and green/blue/gold foliage. Grown for evergreen foliage, not flowers; empty color set is expected and no gap applies."
lantana,Lantana,12,color-variants,none,,"Lantana camara color variants including its signature multicolor clusters: yellow, orange, red, pink, purple, white. This is the full lantana range; excellent coverage."
larkspur,Larkspur,6,color-variants,none,,"Consolida/annual larkspur variants in blue, purple, pink, white. That is the realistic larkspur palette; it does not come in red/orange/yellow, so nothing meaningful is missing."
lavender,Lavender,12,color-variants,none,,"Lavandula cultivars (with some English/French/Spanish species mixing) in blue, purple, pink, white. Lavender does not come in warm colors, so blue/purple plus pink and white cultivars is the full realistic range."
lilac,Lilac,14,color-variants,none,,"Syringa color variants: purple, lilac-blue, magenta/pink, white, and even the famous yellow ('Primrose'). Spans the full lilac range including the rare yellow; coverage is complete."
lisianthus,Lisianthus,8,color-variants,none,,"Eustoma color variants: blue, purple, pink, white, pale yellow/apricot, plus picotee bicolors. Lisianthus does not do true red, so this spans its realistic garden range well."
little-bluestem,Little Bluestem,3,species-or-form-types,none,,"Cultivars of one warm-season grass (Schizachyrium scoparium: 'The Blues', 'Standing Ovation', etc.). The 'orange' is fall foliage/plume color; grasses are shopped by foliage color and form, not flower color, so there is no flower-color range to miss."
lupine,Lupine,12,color-variants,none,,Russell-hybrid garden lupine color variants; blue/purple/pink/red/white/yellow is essentially the full lupine rainbow.
magnolia,Magnolia,13,species-or-form-types,none,,"Form types (star, saucer, southern evergreen, yellow cucumber-tree). Trees are shopped by size/form/evergreen-vs-deciduous, not flower color; white + pink/magenta + yellow spans the realistic magnolia palette (deep-purple moderns like 'Black Tulip' fold into magenta/pink)."
maiden-grass,Maiden Grass,5,species-or-form-types,none,,"Miscanthus sinensis cultivars ('Gracillimus', 'Zebrinus', 'Morning Light'). The pale red/yellow are plume tones; foliage and form are the shopping axis, not flower color."
mandevilla,Mandevilla,5,color-variants,none,,Red/pink/white/apricot(yellow)/orange covers the full mandevilla/dipladenia tropical-vine range.
marguerite-daisy,Marguerite Daisy,5,color-variants,none,,White/yellow/pink/apricot/red is the complete Argyranthemum palette.
marigolds,Marigolds,11,mixed,none,,"Both distinct forms (African/erecta, French/patula, signet/tenuifolia) and colors. Marigolds are inherently a warm-tone genus (orange/yellow/red/mahogany) with no blue/pink/purple, so the range is well covered; white is a niche novelty, not an expected gap."
mock-orange,Mock Orange,7,species-or-form-types,none,,"Philadelphus is inherently a white-flowered fragrance shrub (cultivars differ by size and single vs double, some with a purple eye). All-white is correct, not a missing-color gap."
morning-glory,Morning Glory,6,color-variants,none,,"Blue ('Heavenly Blue'), purple, pink, red, white covers the Ipomoea range; slightly mixed since white moonflower (I. alba) is a related species, but color coverage is complete."
nasturtium,Nasturtium,7,color-variants,none,,Tropaeolum is a warm-tone genus (orange/yellow/red/cream/mahogany) with no blue or purple; orange/yellow/red spans it well.
nicotiana,Flowering Tobacco,6,mixed,none,,"Flowering tobacco spans bedding N. alata color forms plus distinct species (green N. langsdorffii, tall white N. sylvestris). Green/white/pink/red/purple covers the range; lime is captured by green."
ninebark,Ninebark,8,species-or-form-types,none,,"Physocarpus is shopped by FOLIAGE color (gold 'Dart's Gold', burgundy 'Diabolo', green); the flowers are inherently small white/pale-pink clusters. No flower-color gap; the real color axis is leaves, not captured here."
northern-sea-oats,Northern Sea Oats,2,species-or-form-types,none,,"Chasmanthium latifolium grown for oat-like seed heads and foliage, not flowers; not a flower-color plant, so nothing to miss."
ornamental-kale,Ornamental Kale,5,mixed,none,,"Empty flower-color is expected: ornamental kale/cabbage color lives in the FOLIAGE rosette (white, pink, magenta/purple), and flowering actually means bolting. Members are leaf-color and leaf-form (feather/fringe) variants; the blank flower-color is a data artifact, not a shopper-facing gap."
osteospermum,African Daisy,6,color-variants,none,,"All Osteospermum/Dimorphotheca; members span the realistic African daisy range (purple, white, pink, yellow, orange). No true red/blue exists in this plant, so nothing is missing."
pampas-grass,Pampas Grass,4,species-or-form-types,none,,"Cortaderia cultivars (incl. variegated 'Gold Band', pink 'Rosea'); plume colors are white/cream and pink. Grass form/plume is the shopping axis, adequately covered."
pansies,Pansies & Violas,12,color-variants,none,,Eight colors including near-black (grey) - the most complete bedding-plant palette possible; nothing missing.
passionflower,Passionflower,5,species-or-form-types,none,,"Distinct Passiflora species (blue P. caerulea, red P. coccinea/racemosa, purple, pink, white). Grouped by species/form but the color range is complete."
pentas,Pentas,6,color-variants,none,,"Red/pink/purple(lavender)/white is the full Pentas lanceolata palette; it has no true blue, yellow, or orange, so nothing realistic is missing."
peonies,Peonies,16,mixed,none,,"Herbaceous, tree, and Itoh forms plus colors; white/pink/red/coral(orange)/yellow (Itoh & tree) covers everything peonies do. No blue or purple exists in peonies, so the range is complete."
petunias,Petunias,14,color-variants,none,,Very broad range including true blue and yellow; the near-black novelties fold into purple. Full coverage.
phlox,Garden Phlox,13,color-variants,none,,"Garden phlox with 13 members across pink, purple, white, magenta, red and coral (orange). Excellent, complete coverage."
pine,Pine,5,species-or-form-types,none,,"Conifers (dwarf mugo, white pine, Japanese black pine) with no ornamental flowers; the color axis is N/A, so the empty color set is correct."
portulaca,Portulaca,6,color-variants,none,,Yellow/orange/red/pink/magenta/white is the full moss-rose (Portulaca grandiflora) bright palette; complete.
potentilla,Potentilla,11,color-variants,none,,"Reads as shrubby cinquefoil (Potentilla fruticosa) color cultivars: yellow is the classic, with newer white ('Abbotswood'), orange/red ('Red Ace'), and pink ('Pink Beauty') forms. Orange, pink, red, white, yellow spans the full realistic shrub-potentilla palette. A few herbaceous pink/red species may also be folded in, so it leans slightly mixed, but color coverage is complete."
ranunculus,Ranunculus,11,color-variants,none,,"Persian buttercup (Ranunculus asiaticus) is a florist plant sold in nearly every hue. Orange, pale pink, pale yellow, pink, purple, red, white, yellow is a broad, well-rounded spread; no shopper-relevant gap."
