slug,name,botanical,genus,category,storedColor,candidateTrueColors,finalVerdict,confidence,shopperRelevance,colorAffectsSizeOrCare,notes
pincushion-flower,Pincushion Flower,Scabiosa,Scabiosa,Perennial,blue,lavender-blue; pink; white; burgundy,clearly-multi,0.9,high,,"Scabiosa is genuinely multicolor in the trade: lavender-blue ('Butterfly Blue'), pink ('Pink Mist'), white, and deep maroon/burgundy (S. atropurpurea) are all standard offerings. Blue is a fair default and shoppers actively pick color on this popular cottage and cut-flower perennial. | Confirmed. Perennial Scabiosa is genuinely multi-color at ordinary garden centers: S. columbaria 'Butterfly Blue' (lavender-blue) and 'Pink Mist' (pink) are among the top-selling perennials everywhere, and S. caucasica adds common white ('Alba'/'Miss Willmott') and blue forms. Blue/lavender is a fair default (the iconic 'Butterfly Blue'). Two honest caveats: (1) the deep maroon/burgundy is the weakest color for THIS category because it comes mostly from S. atropurpurea ('Black Knight'/'Chile Black'), which is normally grown as an ANNUAL, not the perennial this entry is filed under; burgundy survives into perennials only via newer selections (Scoop series, 'Beaujolais Bonnets'). (2) Naming-confusion risk: 'pincushion flower' also names Knautia macedonica (crimson relative) and, quite differently, Leucospermum (the orange/red/yellow protea 'pincushion')  -  neither applies here since genus is pinned to Scabiosa, but a downstream color-scrape on the common name could pull those in."
salvia-annual,Salvia (Annual),Salvia splendens,Salvia,Annual,red,red; purple; white; salmon; burgundy; pink,clearly-multi,0.9,high,,"Salvia splendens bedding series ('Vista', 'Salsa', 'Sizzler') come in red, purple, white, salmon, burgundy, coral, and lavender; iconic scarlet is only the most familiar. A prime pick-your-color bedding annual, so red is a fair default but far from the only color. | Confirmed, but with a genus caveat: the genus Salvia as a whole is NOT reliably multi-color (most species like S. farinacea, S. guaranitica, or S. coccinea run one narrow palette), so this verdict holds only because the pinned species is specifically S. splendens (scarlet/bedding sage)  -  the one mass-market Salvia deliberately bred into a color range. Its dominant seed series ('Salsa', 'Sizzler', 'Vista') are stocked at ordinary garden centers in red, purple/violet, white, salmon, burgundy, and pink, so the stored single ""red"" is only the most iconic, not the only, color. Two trims to the first pass: ""coral/pink"" is just pink, and ""lavender"" is a real but series-specific selection (Sizzler Lavender) that sits at the pale edge of the purple range rather than being a clean seventh distinct color. Red remains a fair default."
butterfly-weed,Butterfly Weed,Asclepias tuberosa,Asclepias,Perennial,orange,orange; yellow,clearly-multi,0.88,high,,"Asclepias tuberosa is classically orange, but 'Hello Yellow' (clear yellow) is widely stocked and red-toned forms and 'Gay Butterflies' mixes (orange/yellow/red) are common, so shoppers genuinely choose color. Orange stays the correct default. Note this is the dry-soil orange species, distinct from pink swamp milkweed (A. incarnata) - do not merge. | I tried to refute the multi-color claim and could not fully knock it down: orange + yellow survives. Orange is the wild default and yellow 'Hello Yellow' is a genuinely mainstream, mass-market cultivar (Bluestone, White Flower Farm, big-box racks, native plant sales), not a rare collector form, so an ordinary shopper really does choose between orange and clear yellow. That makes it genuinely multi-color. BUT I am dropping ""red"" from the defensible list. A. tuberosa's natural range only runs from yellow through orange to a red-ORANGE/scarlet tint; there is no reliably-stocked, distinctly RED standalone A. tuberosa. The ""red"" the first pass cited comes from (a) the 'Gay Butterflies' SEED MIX (Park Seed etc.), where you get a random spread of orange/yellow/red-orange, not a color you can pick, and (b) likely bleed-over from a different species. Two confusion traps to flag: A. curassavica (tropical milkweed / bloodflower, 'Silky Red'/'Silky Scarlet'/'Silky Gold') IS the true red-and-yellow bicolor milkweed - do not import its red onto tuberosa. And A. incarnata (swamp milkweed) is the pink/mauve/white one - the first pass was right not to merge it. So: confirm orange+yellow, demote red to a warm-orange tint present only in mixes, keep orange as the correct default."
agastache,Anise Hyssop,Agastache,Agastache,Perennial,purple,purple; blue; pink; rose; orange; coral; peach; white,clearly-multi,0.85,high,YES,"The genus Agastache spans the cold-hardy blue-purple anise hyssops (A. foeniculum) and the warm-toned hummingbird mints (A. aurantiaca/rupestris/cana hybrids) sold in orange, coral, pink and peach; garden centers stock the whole range and color is a deliberate choice. | The warm-toned 'hummingbird mint' hybrids (orange/coral/pink, from A. aurantiaca / rupestris / cana parentage) are generally shorter, xeric, need sharp drainage, resent winter wet and are less cold-hardy, whereas the blue-purple anise hyssop (A. foeniculum) is a tall, moisture-tolerant, self-seeding zone-4 upright. The warm-color forms arguably deserve their own entry rather than a color note. | Naming caution: ""Anise Hyssop"" strictly means Agastache foeniculum, which in cultivation is essentially blue-purple only (rare white 'Alabaster'/'Alba'). The warm tones (orange/coral/peach/pink) come from the hummingbird-mint hybrids of A. aurantiaca/cana/rupestris, usually badged ""Hummingbird Mint,"" not ""Anise Hyssop."" This record is defensibly multi-color ONLY because its botanical field is the bare genus ""Agastache,"" not a foeniculum species entry; the tags say ""purple/pollinator/fragrant,"" which lean toward the foeniculum reading, so there is a mild identity mismatch. If the catalog ever narrows this to A. foeniculum specifically, it should revert to near-monochrome blue-purple. As a genus entry, though, the Kudos/Poquito/Meant-to-Bee/Summerlong series make orange, coral, peach, pink, rose, blue-purple, and white all genuinely bench-common (yellow and red also exist). The first pass listing ""blue"" and ""purple"" as separate is slightly redundant (these hybrids are marketed interchangeably as blue and purple), but both labels are legitimate."
english-daisy,English Daisy,Bellis perennis,Bellis,Perennial,pink,white; pink; red; red-and-white bicolor,clearly-multi,0.95,medium,,"Bellis perennis bedding strains (Tasso, Pomponette, Habanera) are sold as pompom doubles in white, pink, red and red-and-white bicolors; the multicolor mix is the whole point of the plant. | Confirmed multi-color, not refuted. Standard bedding series (Tasso, Pomponette, Habanera, Bellissima, Speedstar, Goliath) are all sold in white, pink/rose, red, and red-and-white bicolors, both as mixes and as named single colors, at ordinary garden centers as spring cool-season bedding. Caveats: the ""red"" is really a deep carmine/rose rather than a true red; yellow is only the central disc, not an offered flower color, so do not count it; the multi-color range belongs to cultivated strains, while the wild species form is white with pink-tipped rays. Botanical-confusion note: ""English/lawn daisy"" (Bellis perennis) must not be conflated with the white-only oxeye/Shasta daisy (Leucanthemum) - here the stored ID is correctly Bellis. The current single stored value ""pink"" is a legitimate but incomplete color."
helenium,Sneezeweed,Helenium,Helenium,Perennial,orange,yellow; orange; red; mahogany/bronze; bicolor red-and-yellow,clearly-multi,0.92,medium,,"Helenium autumnale and the common hybrids ('Moerheim Beauty' red, 'Butterpat' yellow, 'Mardi Gras'/'Sahin's Early Flowerer' bicolors) span the warm daisy range of yellow, orange, red, and bronze, and garden centers routinely stock several. Orange is a fair, representative default. | Confirmed multi-color, not refuted. The color range is carried by mainstream, widely-stocked cultivars, not rare collector forms: 'Moerheim Beauty' (coppery red), 'Butterpat'/'Kanaria' (yellow), 'Rubinzwerg' (deep red), 'Waltraut'/'Wyndley' (orange-bronze), and 'Mardi Gras'/'Sahin's Early Flowerer' (red-and-yellow bicolors). Two nuances a first pass can miss: (1) every Helenium keeps a prominent brown-bronze central disc/cone regardless of ray color, so all of them read as somewhat two-tone and near-pure yellows still show a dark eye; the varying color is in the ray florets, which is what a gardener actually selects on. (2) Common-name risk: 'sneezeweed'/'sneezewort' can point to the unrelated white Achillea ptarmica, but that does not affect Helenium's own genuine range. Orange is an acceptable representative default, though many popular forms sit in the red/bronze end."
lamium,Dead Nettle,Lamium maculatum,Lamium,Perennial,magenta/pink,pink; white; purple,clearly-multi,0.9,medium,,"Lamium maculatum is sold in distinct named color forms over its silver-marked foliage: pink/magenta ('Beacon Silver','Pink Pewter'), pure white ('White Nancy'), and purple ('Purple Dragon','Orchid Frost'). Genuinely multi-color and shoppers choose by it. | Lamium maculatum is grown primarily for its silver-marked FOLIAGE, and its flowers are small, so a casual shopper often selects by leaf look rather than bloom. But flower color is still a genuine, named distinction among mainstream cultivars over that similar silver foliage: pink/magenta ('Beacon Silver', 'Pink Pewter', species type), pure white ('White Nancy', one of the most-sold forms), and purple/orchid ('Purple Dragon', 'Orchid Frost'  -  a mass-market Proven Winners selection). None are rare collector items. Do NOT extend this to yellow: yellow-flowered 'dead nettle' is a DIFFERENT species (Lamium galeobdolon, yellow archangel); L. album (white archangel) and the weed L. purpureum are also separate species and should not be counted as L. maculatum colors."
red-hot-poker,Red Hot Poker,Kniphofia,Kniphofia,Perennial,orange,orange; red; yellow; coral; cream,clearly-multi,0.9,medium,,"Kniphofia hybrids and species span the classic red-orange bicolor plus pure yellow ('Nobilis', 'Percy's Pride'), coral, cream ('Ice Queen'), and apricot; the Popsicle series alone sells mango/banana/pineapple/redhot. Orange is a fair default for the archetypal poker. | Confirmed multi-color; this is not genus/relative confusion, a monochrome genus, or a foliage plant. The mass-market Terra Nova 'Popsicle' series (Mango=orange, Pineapple=yellow, Redhot=red, Papaya, Creamsicle=cream) is stocked at ordinary big-box garden centers, and 'Bees' Lemon', 'Percy's Pride', 'Ice Queen', and coral/apricot cultivars round out the range; the repo's own extension-sourced intel confirms red/orange/yellow (often two-toned on one spike). Two trims to the first pass: 'green-tinged' (e.g. 'Green Jade', greenish 'Percy's Pride') is a specialty/collector color a typical shopper rarely meets, and 'apricot/peach' perceptually shades into orange/coral rather than being a cleanly distinct offering. Orange is a fair default because the archetypal red-to-yellow bicolor torch reads as orange overall."
bergenia,Bergenia,Bergenia,Bergenia,Perennial,pink,pink; white; magenta,clearly-multi,0.88,medium,,"Bergenia cultivars span white ('Bressingham White', 'Silberlicht'), soft pink ('Baby Doll'), rose, and deep red-magenta ('Winterglut', 'Bressingham Ruby'). Rose-pink is a fair default, but white and red forms are widely sold; the plant is bought for both flowers and evergreen foliage. | Genuine multi-color case backed by standard, widely-stocked cultivars: white ('Silberlicht', 'Bressingham White'), rose-pink (species B. cordifolia, 'Baby Doll'), and deep magenta-crimson ('Winterglut'/Winter Glow, 'Abendglut', 'Bressingham Ruby'). The first pass's ""red"" is really deep magenta-crimson, not true scarlet, so I merged it into magenta rather than list it separately. Keep pink as the sensible default. Note Bergenia is a dual-purpose plant bought heavily for its bold evergreen foliage (which bronzes in winter), but the spring flowers are still a real color-varied feature, so it is not a foliage-only trap. Do not confuse with the unrelated tropical 'elephant ear' Colocasia/Alocasia."
epimedium,Barrenwort,Epimedium,Epimedium,Perennial,yellow,yellow; red/crimson; pink; white; purple/lavender; orange,clearly-multi,0.85,medium,YES,"Epimedium is stored as a genus (no species pinned) and spans many species/hybrids sold in yellow, red, pink, white, orange, and lavender; the stored yellow is only one common form (E. x versicolor 'Sulphureum'). Clearly multi-color across the genus. | Color roughly tracks a real size/vigor/care split within this genus-level entry: the yellow forms are mostly the vigorous, evergreen, dry-shade spreading groundcovers (E. x perralchicum 'Frohnleiten', E. pinnatum subsp. colchicum, E. x versicolor 'Sulphureum'), whereas the red/pink/white/lavender forms are the daintier, often deciduous, slower clumping species (E. grandiflorum, E. x youngianum, E. x rubrum). The tough yellow groundcover types may deserve their own entry from the clumping colored ones. | Confirmed multi-color, but the first pass slightly overstates uniform availability. Because the entry is stored at genus level with no species pinned, the color range is defensible: it maps to distinct, established, widely-grown taxa rather than rare collector forms  -  yellow (E. x versicolor 'Sulphureum', E. x perralchicum), crimson (E. x rubrum), and the grandiflorum/youngianum pink/white/purple forms are all standard trade plants; orange is real via E. x warleyense. Two honest nuances: (1) at a big-box garden center an ordinary gardener most reliably encounters only yellow (x versicolor) and red (x rubrum); the pinks, whites, purples, and especially orange skew toward independent perennial nurseries and mail-order, so 'commonly available' is true at a decent perennial section but thin at mass retail. (2) Epimedium is grown for its ornamental semi-evergreen foliage as much as its flowers, but flower color is a genuine, cultivar-named selling axis, so it is not a foliage-only case. No genus/relative confusion detected  -  the candidate colors are not borrowed from a lookalike. The stored single yellow is one legitimate common form but under-represents the plant."
liatris,Blazing Star,Liatris,Liatris,Perennial,purple,purple; white,clearly-multi,0.85,medium,,"Liatris spicata is the familiar purple/magenta, but a widely sold white ('Alba', 'Floristan White') is a real second color in the perennial and cut-flower/bulb trade. Essentially a two-color plant, purple being the default. | This is a genuine two-color plant, not a broadly multicolored one. Purple/rose-purple (the stored #9b5fc6) is the default; white is the only real second color, sold widely as 'Floristan White'/'Floristan Weiss' and 'Alba' at mainstream retailers and, notably, as corms in spring bulb assortments at big-box stores where white and purple are the two standard picks. The ""pink/rose"" that some catalogs list is a shade within the rose-purple/magenta range, not a distinct garden-center color, so do not add it as a third. The wider Liatris genus (L. ligulistylis, L. aspera, L. pycnostachya) is uniformly purple/magenta, so this is a purple genus with one commercial white sport, not evidence of a multicolor genus. Also note availability is split by format: potted perennials are often just purple, whereas the white option is most reliably found in the dormant-corm/bulb aisle."
gaura,Gaura,Oenothera lindheimeri,Oenothera,Perennial,pale pink,white; pale pink; rose-pink,clearly-multi,0.85,medium,,"Oenothera lindheimeri is sold in two clear streams, pure white ('Whirling Butterflies', 'So White') and rose-pink ('Siskiyou Pink', 'Belleza'), plus white-and-pink bicolors ('Rosy Jane'). Both white and pink are ubiquitous, so pale pink is a fair but not exclusive default. | The multi-color claim survives skeptical review. Distinct pure-white cultivars ('Whirling Butterflies', 'Sparkle White', 'So White') and distinct rose-pink cultivars ('Siskiyou Pink', 'Crimson Butterflies', the Belleza/dwarf pink series) are BOTH mass-market staples, not collector rarities, so white and rose-pink are genuinely available side by side. Two nuances: (1) Botanical confusion risk - the parent genus Oenothera (evening primrose) is overwhelmingly YELLOW-flowered, but this specific species (long sold as Gaura lindheimeri) has no yellow at all; do not let the genus imply yellow. (2) Gaura flowers naturally open white/pale and age to pink on the same plant, so the stored 'pale pink' is a fair intermediate default rather than wrong, it just is not exclusive. The white-and-pink bicolor 'Rosy Jane' is real but meaningfully less ubiquitous than the two pure streams, so I would treat it as a minor extra, not a core color."
mullein,Mullein,Verbascum,Verbascum,Perennial,yellow,yellow; apricot/peach; pink; rose; purple/violet; white; cream/buff,clearly-multi,0.85,medium,,"As the wild species Verbascum thapsus yellow is correct, but ornamental Verbascum sold to home gardeners spans apricot, pink, rose, purple, and white (hybrids like 'Southern Charm', 'Helen Johnson', 'Jackie', plus V. phoeniceum). A soft size correlation exists (the tall silver-leaved yellow mulleins are large biennials while most colored forms are shorter short-lived perennials), but yellow also appears in the short hybrids so color does not cleanly determine size. | Confirmed multi-color, and the colored forms are mainstream, not collector rarities: Verbascum 'Southern Charm' (creamy yellow, peach, pink, lavender) is stocked by major perennial nurseries and listed by RHS and Missouri Botanical Garden, and V. phoeniceum seed mixes (violet, rose, pink, white) are sold everywhere as cheap seed, plus named hybrids 'Helen Johnson' (apricot/copper), 'Gainsborough' (soft yellow), 'Cotswold Queen' (amber). Two honest nuances: (1) the bare name 'Mullein' most strictly denotes Verbascum thapsus, the woolly roadside biennial, which really is monochrome yellow, so the polychromy lives in the ornamental hybrids and other species, not in 'true' common mullein; (2) the signature garden-Verbascum palette skews to soft apricot/copper/dusky-rose/buff pastels rather than saturated primaries. Keep yellow (it is real in the hybrids too), do not replace it. Note also the size/lifespan wrinkle: tall silver-leaved yellow mulleins are large biennials while most colored hybrids are shorter short-lived perennials, but yellow appears in the short hybrids too, so color does not cleanly predict size."
periwinkle,Periwinkle,Vinca minor,Vinca,Perennial,blue,blue; white; purple,clearly-multi,0.85,medium,,"Vinca minor is famously periwinkle-blue, but garden centers routinely stock white ('Alba') and reddish-purple/burgundy ('Atropurpurea') flowered selections, plus gold/variegated-foliage forms. A real color range, though blue is the dominant default. | Confirmed multi-color, but with caveats. (1) Blue/lavender massively dominates; white ('Alba') and wine-purple/burgundy ('Atropurpurea', a.k.a. 'Rubra') are genuine, buyable minorities, not the norm. (2) The 'purple' entry covers a burgundy/violet-purple range, not a clean magenta. (3) Do NOT confuse this with Catharanthus roseus, the annual 'vinca'/Madagascar periwinkle (a different genus, sold in pink/red/white/apricot)  -  the first pass correctly avoided this trap. (4) The gold and variegated forms ('Illumination', 'Blue and Gold', 'Variegata') are FOLIAGE selections that still bloom blue; they add leaf color, not a flower color, and should not be counted toward flower-color range. Multiple university extensions (Clemson, NC State) list 'Alba' and 'Atropurpurea' as commonly grown cultivars, so this is mainstream availability, not collector-only."
